step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
75,1.5,45.17347074135563,45.0,1.4086607507592543e-22,0.12815141281375725,0.0,0.0,76.0,30.0,0.0,75,45.17347074135563,45.0,1.4086607507592543e-22,0.12815141281375725,WANDER,0.55,0,0,0,0,optomotor
76,1.52,45.17606921253952,45.0,1.4151102042572633e-22,0.12992355919428242,0.0,0.0,76.0,30.0,0.0,76,45.17606921253952,45.0,1.4151102042572633e-22,0.12992355919428242,WANDER,0.55,0,0,0,0,optomotor
77,1.54,45.17873254239523,45.0,1.4186569392784799e-22,0.13316649278564827,0.0,0.0,76.0,30.0,0.0,77,45.17873254239523,45.0,1.4186569392784799e-22,0.13316649278564827,WANDER,0.55,0,0,0,0,optomotor
78,1.56,45.18147249936605,45.0,1.422042614230411e-22,0.13699784854121136,0.0,0.0,76.0,30.0,0.0,78,45.18147249936605,45.0,1.422042614230411e-22,0.13699784854121136,WANDER,0.55,0,0,0,0,optomotor
79,1.58,45.18428267991475,45.0,1.4304829869034175e-22,0.1405090274348558,0.0,0.0,76.0,30.0,0.0,79,45.18428267991475,45.0,1.4304829869034175e-22,0.1405090274348558,WANDER,0.55,0,0,0,0,optomotor
80,1.6,45.18713959163165,45.0,1.4385304005960284e-22,0.14284558584494525,0.0,0.0,76.0,30.0,0.0,80,45.18713959163165,45.0,1.4385304005960284e-22,0.14284558584494525,WANDER,0.55,0,0,0,0,optomotor
81,1.62,45.1900052479515,45.0,1.451411628296882e-22,0.14328281599242446,0.0,0.0,76.0,30.0,0.0,81,45.1900052479515,45.0,1.451411628296882e-22,0.14328281599242446,WANDER,0.55,0,0,0,0,optomotor
82,1.6400000000000001,45.19283104251868,45.0,1.4636895052808672e-22,0.14128972835883588,0.0,0.0,76.0,30.0,0.0,82,45.19283104251868,45.0,1.4636895052808672e-22,0.14128972835883588,WANDER,0.55,0,0,0,0,optomotor
83,1.6600000000000001,45.19556255628965,45.0,1.4753926907070354e-22,0.1365756885486835,0.0,0.0,76.0,30.0,0.0,83,45.19556255628965,45.0,1.4753926907070354e-22,0.1365756885486835,WANDER,0.55,0,0,0,0,optomotor
84,1.68,45.19819743721847,45.0,1.4865484824243828e-22,0.13174404644094934,0.0,0.0,76.0,30.0,0.0,84,45.19819743721847,45.0,1.4865484824243828e-22,0.13174404644094934,WANDER,0.55,0,0,0,0,optomotor
85,1.7,45.20079683876656,45.0,1.499786935352613e-22,0.12997007740458857,0.0,0.0,76.0,30.0,0.0,85,45.20079683876656,45.0,1.499786935352613e-22,0.12997007740458857,WANDER,0.55,0,0,0,0,optomotor
86,1.72,45.20341170150444,45.0,1.5124053438043496e-22,0.1307431368941273,0.0,0.0,76.0,30.0,0.0,86,45.20341170150444,45.0,1.5124053438043496e-22,0.1307431368941273,WANDER,0.55,0,0,0,0,optomotor
87,1.74,45.206078781909746,45.0,1.5244331598922257e-22,0.1333540202651258,0.0,0.0,76.0,30.0,0.0,87,45.206078781909746,45.0,1.5244331598922257e-22,0.1333540202651258,WANDER,0.55,0,0,0,0,optomotor
88,1.76,45.20881792767555,45.0,1.5385024904720594e-22,0.1369572882902058,0.0,0.0,76.0,30.0,0.0,88,45.20881792767555,45.0,1.5385024904720594e-22,0.1369572882902058,WANDER,0.55,0,0,0,0,optomotor
89,1.78,45.211630845410255,45.0,1.5467044768885538e-22,0.14064588673545023,0.0,0.0,76.0,30.0,0.0,89,45.211630845410255,45.0,1.5467044768885538e-22,0.14064588673545023,WANDER,0.55,0,0,0,0,optomotor
90,1.8,45.214501472547845,45.0,1.5597334839862563e-22,0.14353135687931523,0.0,0.0,76.0,30.0,0.0,90,45.214501472547845,45.0,1.5597334839862563e-22,0.14353135687931523,WANDER,0.55,0,0,0,0,optomotor
91,1.82,45.21739792118681,45.0,1.5773607771601591e-22,0.14482243194818886,0.0,0.0,76.0,30.0,0.0,91,45.21739792118681,45.0,1.5773607771601591e-22,0.14482243194818886,WANDER,0.55,0,0,0,0,optomotor
92,1.84,45.22027582037671,45.0,1.588952271824854e-22,0.14389495949536793,0.0,0.0,76.0,30.0,0.0,92,45.22027582037671,45.0,1.588952271824854e-22,0.14389495949536793,WANDER,0.55,0,0,0,0,optomotor
