step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,is_lights_on,beam_crossed,is_sleeping,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
105,2.1,15.256064469395342,5.0,1.6783502587284582e-22,0.13297236982292313,0.0,0.0,1.0,0.0,1.0,105,15.256064469395342,5.0,1.6783502587284582e-22,0.13297236982292313,WANDER,0.55,0,0,0,0,circadian_dam
106,2.12,15.258693263566446,5.0,1.6748531333029299e-22,0.13143970855518755,0.0,0.0,1.0,0.0,1.0,106,15.258693263566446,5.0,1.6748531333029299e-22,0.13143970855518755,WANDER,0.55,0,0,0,0,circadian_dam
107,2.14,15.261341010548028,5.0,1.6715300800566865e-22,0.1323873490791308,0.0,0.0,1.0,0.0,1.0,107,15.261341010548028,5.0,1.6715300800566865e-22,0.1323873490791308,WANDER,0.55,0,0,0,0,circadian_dam
108,2.16,15.264042760044115,5.0,1.6683728305612122e-22,0.1350874748043018,0.0,0.0,1.0,0.0,1.0,108,15.264042760044115,5.0,1.6683728305612122e-22,0.1350874748043018,WANDER,0.55,0,0,0,0,circadian_dam
109,2.18,15.266816436634938,5.0,1.66797756285688e-22,0.13868382954122227,0.0,0.0,1.0,0.0,1.0,109,15.266816436634938,5.0,1.66797756285688e-22,0.13868382954122227,WANDER,0.55,0,0,0,0,circadian_dam
110,2.2,15.269661782683508,5.0,1.6676093035287509e-22,0.14226730242853255,0.0,0.0,1.0,0.0,1.0,110,15.269661782683508,5.0,1.6676093035287509e-22,0.14226730242853255,WANDER,0.55,0,0,0,0,circadian_dam
111,2.22,15.272560909032448,5.0,1.6594546085233512e-22,0.14495631744696566,0.0,0.0,1.0,0.0,1.0,111,15.272560909032448,5.0,1.6594546085233512e-22,0.14495631744696566,WANDER,0.55,0,0,0,0,circadian_dam
112,2.24,15.275480405160641,5.0,1.6464865639378614e-22,0.1459748064096103,0.0,0.0,1.0,0.0,1.0,112,15.275480405160641,5.0,1.6464865639378614e-22,0.1459748064096103,WANDER,0.55,0,0,0,0,circadian_dam
113,2.2600000000000002,15.278374820389146,5.0,1.634141362437055e-22,0.1447207614252211,0.0,0.0,1.0,0.0,1.0,113,15.278374820389146,5.0,1.634141362437055e-22,0.1447207614252211,WANDER,0.55,0,0,0,0,circadian_dam
114,2.2800000000000002,15.281191204566126,5.0,1.6223894189744097e-22,0.14081920884892923,0.0,0.0,1.0,0.0,1.0,114,15.281191204566126,5.0,1.6223894189744097e-22,0.14081920884892923,WANDER,0.55,0,0,0,0,circadian_dam
115,2.3000000000000003,15.28388740143024,5.0,1.6112025537931129e-22,0.13480984320570147,0.0,0.0,1.0,0.0,1.0,115,15.28388740143024,5.0,1.6112025537931129e-22,0.13480984320570147,WANDER,0.55,0,0,0,0,circadian_dam
